Block state | Channel name - (Channel link) Description (or other description, comma and Channel Link)
+ | KeidBoi									 - (channel/UCYNvW7bGrVSr0pXMpo7jz8g) Fake clickbait (idk if this considered bad enough to be blocked)
+ | Klara Tania							 - (channel/UC4rHBMP2rGPuFk9F-JlGzbQ) idk, some "Indonesian peoples" stuff that is mostly bad (contains love nonsense, some **s in mouth sy1t)
+ | Labrant Fam							 - (channel/UC4-CH0epzZpD_ARhxCx6LaQ)
+ | La Familia Diamond			 - (c/FamiliaDiamond)
+ | La La Life							 - Copycat 5MC (c/LaLaLife)
+ | LankyBox Channel				 - (channel/UCBth_LGMSh68e1mpjm_6Jug) part of lb
+ | LankyBox								 - (c/LankyBox) worst yt short
+ | LankyBox World					 - (channel/UC-UXd3xaj1I_yTvufcMdDAA) part of lb
+ | Les Copaque							 - popular for-baby channel (in indo)
+ | LINH-ASMR								 - (channel/UCNMpL6nzo_kOftvXOugQeBQ) ASMR Eating Disorder Clickbait nonsense
+ | Lisa Gaming ROBLOX			 - (c/LisaGamingROBLOX) Dumb and rude Roblox Roleplay shit (actual people behind it was even doing porny)
+ | Loki										 - CarlayleeHD nonsense (channel/UCO54UyKKelmib2GbsrXCMVQ).
+ | LoL Mobile Gaming				 - their fwkang annonying & buggy ads dude. like really?, why not block right?
+ | Luca Roblox							 - (channel/UCQRddWzEuLq-IKexDqwvd8g) Robot TTS Roblox pom w/ rando emoji slapped
+ | Luca Roblox Story				 - (channel/UCwWDnrU6qzqusjUKKQq5UeA) Robot TTS Roblox pom w/ rando emoji slapped
+ | LuTuTu Boo-Boo!					 - (channel/UCYHslo7aORZvfS8QzyLKEKw) part of LuTuTu
+ | LuTuTu									 - (channel/UCFKwASpt-58XgabursEsHXQ) Roblox,etc... clickbait
+ | LuTuTu China*						 - (channel/UClkTY1HtjYitqkXc_58bL5w) part of LuTuTu
+ | LuTuTu Emoji						 - (channel/UCUWKrcYStdSFD4pTHA6MvWw) part of LuTuTu
+ | LuTuTu ES								 - (channel/UCRVbt62Ar-JdTrPawoob58w) part of LuTuTu
+ | LuTuTu Film							 - (channel/UChi4XM2Fnl_EWMTPgoytKPg) part of LuTuTu
+ | LuTuTu Funkin						 - (channel/UCfZ2bsvbPu7T8Y0ew1sXbQw) part of LuTuTu
+ | LuTuTu Robux						 - (channel/UCIti3Q1k2E2Gligpg5ykxEg) part of LuTuTu
+ | LuTuTu Story ES					 - (channel/UCvZgkOK7zn5x0mxh1amynfQ) part of LuTuTu
+ | Maizen									 - (channel/UCJHBJ7F-nAIlMGolm0Hu4vg) Roblox,etc... clickbait
+ | Maizen Español					 - (channel/UCVXPyKs-MAGST7rY9-jg-4w) part of Maizen
+ | Maizen Japan*						 - (channel/UCM3yhFc0-fBFuvqx1Vg2YNQ) part of Maizen
+ | Maizen Minecraft Anmtn*  - (channel/UC0yAUQ85j34DcSn1CFx1X3A) part of Maizen
+ | Maizen Minecraft				 - (channel/UCECZsRYMQ1TQq7bObMDzQwQ) part of Maizen
+ | Maizen Roblox						 - (channel/UCJws8kWGUDzny61OJUpzxbQ) part of Maizen
+ | Maizen Shorts						 - (channel/UCS79iNbQdnXIiTAvVNlt7dQ) part of Maizen
+ | Martinez Twins					 - (channel/UCQ_RJNjvGLGLoxU6pPodvkQ) prn prank
+ | Matt and Rebecca				 - (c/mattandrebecca) pranking, 24hour nonsense, dumb comparison.
+ | Mia DeLeon Xo						 - (channel/UCrXEZ8zqA6GkjuyiYE40Lcg) worst yt short
+ | Mikey JJ Maizen*				 - (channel/UC21fekI6TnD5J1Ies8LjzNA) roblox clickbait
+ | Minecraft World					 - (channel/UCWNq31M-q8FwerAugm7KuuA) Pm "kids" channel that uses Minecraft animation
+ | Mine Time								 - (channel/UCtjH_DXbbxyNdsi9Y-CZ9gA) P*rn Minecraft animation
+ | (Mini|AnimaSEA -) Monsta - yuno childish channel bruf
+ | Mir Mir									 - (channel/UCw4aEZRjFqNYA6zVeVSVxzg) Gachapom
+ | More Nikocado						 - (channel/UCM5v93rV1sazitUpB47hVrA) Part of "Nikocado Avocado"
+ | Morgz										 - childish B***ards (c/ItsMorgz).
+ | Morgz Clips							 - childish Morgz fam (channel/UCC7iRQ71SWY9KJ4p72RW8YA).
+ | MorgzFest								 - childish Morgz fam (channel/UCqQGY0gH1IzbRbcqk1Tk62Q).
+ | Morgz Live							 - childish Morgz fam (channel/UCe8KUUjbDut26Q183VpZGUg).
+ | Morgz Mum								 - childish Morgz fam (channel/UCqsUQhA6UIwSams54bEnCJw).
+ | Mo Vlogs								 - crazy rich flex showoff nonsense channel (according to dj cook though... c/MoVlogs)
+ | Multi Do Challenge ID		 - Copycat 5MC (channel/UCPSHYrLBml2qEv4xyUBbnnA)
+ | My Two Earthlings				 - (c/MyTwoEarthlings) Kids clickbait
+ | N&A Production					 - The most childish youtuber
+ | NCT											 - (c/nctsmtown) even more korean nonsense
+ | Nehema Rahman*					 - (channel/UCXI4uHQghFs1qzGxNbBAPWQ) clickbait
+ | Nikocado Avocado 2			 - (user/OmaDesalasOrlin) Part of "Nikocado Avocado"
+ | Nikocado Avocado 3			 - (channel/UCBzE8s7espH9Esy0FO_iTSg) Part of "Nikocado Avocado"
+ | Nikocado Avocado				 - (user/NikocadoAvocado) Crazy Bastard that promotes Eating Disorder so bad.
+ | Nikocado Shorts					 - (channel/UCQjZNr8QT0oUL1Z0kUbqrvg) Part of "Nikocado Avocado"
+ | Nilanjana Dhar					 - (c/nilanjanadhar)
+ | Noodle King							 - (channel/UCy_CO4AG7JY-PRd5xd6hlRw) Part of "Nikocado Avocado"
+ | Norris Nuts Clips				 - (channel/UCgwxK6tQM4Bmct0xhJfGJRw) part of nn
+ | Norris Nuts Cooking			 - (channel/UCxiPvI9L4mLT8JBod7_Enow) part of nn
+ | Norris Nuts Do Stuff		 - (c/NorrisNutsDoStuff | channel/UCGRmpAEQlz0QA2vx5U7Oltw) part of nn
+ | Norris Nuts Gaming			 - (channel/UCWcly5Teks2uSNsF5hRFNNg) part of nn
+ | Norris Nuts Squat				 - (channel/UCj_obRY5ndoZUPOihGowD5A) part of nn
+ | Oboat										 - (channel/UClQpQYzvYq0mH8M2w3zEdGA) Robux scam
+ | Paige Ginn							 - (c/PaigeGinn13,channel/UC_imz2_buszi6K_P8CHhKaQ, Fetched from RossSmith featured channel) Nonsense fartin pranky sht
+ | Panda Boi 2							 - (channel/UC1jaGiYcpKRJxm5tho4BkQw) part of PB
+ | PANDA BOI								 - (c/PANDABOI) worst yt short
+ | PawZam Dogs							 - (channel/UC0ufW3qv1DDE8ucnwK6jvTA) just as bad as rebecca zamolo itself
+ | Perplexify							 - (c/Perplexify) generic compilation and fake video
+ | Piper Rockelle					 - (c/PiperRockelle) Lazy and ridicilous p*rn youtuber
+ | Plasmonix								 - (c/Plasmonix) 3am clickbait
+ | Preston									 - Clichobaito
+ | Prince Family*					 - (channel/UC5LGPvoUOfwcLi4Ck8LiR4A) clickbait sh!t
+ | Prince Family CH*	 			 - (channel/UCqONv8hrKKTd0ELJcxOVNJQ) clubhouse of above
+ | PrPnySlr69 (Censord)		 - Very Very Clear Porn Channel
+ | Quantum TV							 - (channel/UCOCH5WuEjNnl9Gk8q2r_hVQ) DMCA Abuser.
+ | RainbowMC								 - (c/UnknownXx) same basically.
+ | RATATA BRILIANT					 - Copycat 5MC (channel/UC-4XBNXB8hi8SjiljzoqEyA)
+ | RATATA BRILIANT ID			 - Copycat 5MC (channel/UCz7TiLOhZzVLe0XnTZGf17g)
+ | RATATA BRILIANT PT			 - Copycat 5MC (channel/UCuZzv6qPcPYWF_mQQ9GLnlw)
+ | RATATA COOL							 - Copycat 5MC (channel/UCWj10BWkvjXBS_MZsTbylRw)
+ | RATATA COOL ID					 - Copycat 5MC (channel/UCahTAYi2kWY-YVOYUf12YhA)
+ | RATATA POWER!						 - Copycat 5MC (channel/UC_3XOROtfTC0-Qo-QJmBSEw)
+ | RATATA POWER ID					 - Copycat 5MC (channel/UC8pbndgm8wzZlqZC9ejfBgw)
+ | Rebecca Zamolo					 - (c/rebeccazamolo1) pregnant clickbait ridicilous nonsense
+ | Rebecca Zamolo Shorts		 - (channel/UCAHXKUBO1FSNsvWv9D8vLIg) worst yt short
+ | Rebelq									 - (channel/UC7fWM8TWFsl1OCFeE_cRGUg) Fortnite Shorts Spam + 1 Live Scam (please report his videos so those live scam could be taken down)
+ | REDDiamond							 - (channel/UCv1dEku83ANWZWTgMf8aqew) Pm channel that uses Minecraft animation
+ | Ross Smith							 - (channel/UCqYlcD2MurA9YWe7D911w7A) weird grandma channel involving pm stuff for clickbait.
+ | (Royalty|ACE) Family*		 - (c/{royaltyfam,TheACEFamily}) Clickbait from crazy-ass-richies
+ | Savetion 2							 - (Part of Savetion, channel/UCPXSNPhsfKKJGLmxYqfkvXg)
+ | Savetion 3							 - (Part of Savetion, channel/UCZCcGZQq15BIei-HAdmtynw)
+ | Savetion								 - (idk, porn?? bot channel, mostly... c/Savetion_-X)
+ | Shaya Jacobs						 - (channel/UC42Wu_Mwdfomf5uNgSKvmfA) more clickbaits, and 3am videos
+ | SixStriker							 - (channel/UCO6rBDzdUamZTyl8o_SJdag) Siphoning views (clickbait) off of someone's death to make money.
+ | Surfnboy Shorts					 - (channel/UCMhD97ZasArNEhc7oOsE75A) shorts nonsense
+ | Techy										 - (channel/UCc_Fp7yud9FkBDHkzmzCNlA) Sexual fortnite youtuber
+ | That Vegan Teacher			 - (c/ThatVeganTeacherYouTube) idk wut this?? this isnt considered bad channel. btw fetched from DJCook, but details aren't shown. we're gonna wait for the actual info to get shown
+ | The Norris Nuts					 - (channel/UCYd0us2OtW4d4-1cfpT2ktw | c/TheNorrisNuts) clickbait 3am crap
+ | The Purpose W/ J.G.M*    - (channel/UCA8qkE8c6SiWpyeDF0Nof0Q) Promoting EXTREMELY bad & illegal stuff (incest, pedophilia, sexuality, zoophilia, bestiality, atheism), SO BAD IT VIOLATES YT TOS!!, hopefully soon to be banished by yt, see youtu.be/s9fDXKAiRMo for more.
+ | TIM TIN									 - Copycat 5MC (channel/UCRXJaBvhynZMqVCbHVkzkNw)
+ | Top10Speed							 - (c/Top10Speed) generic compilation and fake video
+ | Troom Oki Toki					 - Copycat 5MC (channel/UChkZElwBp90FQHJZwmhBPxA)
+ | Troom Troom							 - Ridicilously weird love videos (SOG says that, so should be bloX, channel/UCWwqHwqLSrdWMgp5DZG5Dzg)
+ | Troom Troom Select			 - Copycat 5MC (channel/UCIJ44QRtVGm_gBh_deuL5ow)
+ | Van Official						 - Toxic Hate Indonesian Channel.
+ | Willytube								 - (c/WillytubeToo) 3AM Clickbait.
+ | WooHoo									 - Copycat 5MC (channel/UC41GHsi-F40DiDT2DFAWW0w)
